발표 음성,발음 정확도,발화 속도,억양,휴지,간투사,매끄러움,mfcc_mean,mfcc_std,pitch_mean,pitch_std,pronunciation_accuracy,wpm,wps,char_speed
1,3.89,3.33,3.11,4.22,4.89,4.67,,,,,,101.71,1.7,5.42
2,4.89,3.11,3.78,4.44,4.89,4.67,,,,,,94.97,1.58,5.47
3,4.33,3.89,3.67,3.78,4.56,4.44,,,,,,106.82,1.78,5.85
4,4,3.5,2.89,3.11,4.22,3.78,,,,,,100.74,1.68,5.64
5,4.56,3.44,3.67,4,4.89,4.63,,,,,,110.03,1.83,5.74
6,3.11,4,3.67,2.67,4.33,3.78,,,,,,106.75,1.78,6
7,5,3.44,4.33,4.56,4.89,4.67,,,,,,114.84,1.91,5.71
8,5,3.56,4.44,4.56,4.78,4.78,,,,,,115.48,1.92,5.85
9,4.1,3.6,3.6,3.4,4.4,4.4,,,,,,105.94,1.77,6.08
10,3.2,3.6,3.9,3.6,4.4,4.4,,,,,,,1.91,6.18
