음성,발음 정확도,발화 속도,억양,휴지,간투사,매끄러움,발음 유사도 점수,MFCC 평균,MFCC 표준편차,Pitch 평균 (Hz),Pitch 표준편차 (Hz),WPM (Words Per Minute),무음 구간 비율,간투사 수
1,4.89,3.11,4.61,3.53,5,5,100,-16.6744194,26.78947067,1406.92,977.61,101.35,0,0
2,4.83,2.94,4.33,3.5,5,5,100,-17.02158737,26.97844124,1442.41,998.29,99.73,0.1,0
3,4.94,2.83,4.44,3.5,5,5,94.74,-17.67092514,27.44002914,1436.37,972.35,136.36,0.08,0
4,4.78,2.94,4.67,3.39,5,5,81.48,-17.13300323,28.07259369,1489.79,1147.89,106.53,0,0
5,3.17,3.11,3.78,3.5,4.89,4.83,95.77,-26.19343948,32.6834259,1813.32,1166.02,116.58,0.22,0
6,3.72,3.28,3.72,3.33,4.89,4.56,96.67,-25.29283333,32.65531158,1710.23,1171.57,90.91,0.24,0
7,3.28,3.28,3.67,3.56,4.67,4.67,93.55,-25.31902313,30.53054047,1765.6,1132.62,125,0.23,0
8,3.11,2.72,3.5,3.5,4.17,3.44,100,-33.96947479,35.10719299,1833.88,1145.77,44.38,0.56,0
9,4.44,3.06,2.33,3.11,4.83,4.89,100,-11.17294693,26.26396942,1157.91,1236.67,102.5,0.23,0
10,4.61,3.11,2.67,3.33,4.94,4.94,92.31,-13.91067123,28.30443192,1633.35,1419.84,113.64,0.31,0
11,4.61,3.11,2.61,3.5,4.94,4.94,100,-13.56422615,27.5887413,1502.91,1377.46,100.45,0.34,0
12,4.39,3.22,2.5,3.06,4.94,4.89,100,-14.07294178,26.8537674,890.5,1017.69,133.93,0.42,0
13,3.39,2.94,4,3.11,4.78,4.72,91.89,-30.45054245,26.32169533,1374.08,1063.74,116.46,0.18,0
14,3.06,2.61,3.17,3.44,4.78,4.76,80,-44.15549469,28.75027084,1425.63,1133.82,125.88,0.91,0
15,4.28,2.83,3.94,3.17,4.83,4.67,95.41,-30.90836716,21.97376251,1785.8,1132.97,122.15,0.19,0
16,3.33,2.67,3.72,3.28,4.67,4.56,83.64,-32.32402802,25.96951103,1896.66,1183.94,104.46,0.12,0
17,3.33,3.56,3,2.61,4.67,4.56,91.74,-32.72895432,31.11967087,1248.31,1065.89,151.44,0.22,0
18,4.22,1.72,3.28,3.89,4.61,4.44,93.58,-33.17880249,26.26210213,1701.85,1151.8,85.81,0.28,0
19,3.72,3,3.44,2.94,4.67,4.28,93.58,-33.05193329,29.1340847,1575.91,1145.07,136.14,0.19,0
20,3.39,3.72,3.5,2.89,4.67,4.44,89.29,-34.17240906,32.12405777,1356.89,1072,123.63,0.4,0
21,3.72,2.94,3.56,3.06,4.56,4.5,95.41,-34.47000122,29.06859398,1666.45,1128.74,124.17,0.4,0
22,2.22,2.72,2.5,2.78,4.56,4.33,84.4,-27.8269825,33.54059219,1311.4,872.45,104.28,0.08,0
23,2.89,2.22,2.83,3.33,4.61,4.61,93.75,-16.14294815,27.40950203,1360.73,1014.07,97.83,0.12,0
24,2.39,2.61,2.89,3.33,4.67,4.56,92.31,-21.22533798,31.79794312,1518.13,1061.98,122.28,0.21,1
25,1.61,2.56,2.61,3.28,4.72,4.61,75.68,-37.66639328,29.92065239,1472.91,991.16,119.05,0.48,0
26,3.11,2.11,2.33,3.06,4.72,4.56,100,-28.53488922,26.11334229,1525.9,1017.44,82.72,0.65,0
27,1.28,2.28,2.06,3.06,4.56,4.39,41.18,-22.55077171,28.78339577,979.96,924.72,57.69,0.31,0
28,2.67,2.39,2.33,3.11,4.39,3.72,56.25,-22.87619209,28.80505371,938.13,810.07,135.87,0.31,4
29,2.61,3.33,2.33,2.39,3.28,4.06,81.63,-19.26591682,30.17800522,843.4,803.44,128.82,0.27,0
30,3.33,3.22,3.44,3.11,3.83,4.5,61.02,-21.33085442,27.20508766,986.34,928.11,129.72,0.36,0
31,2.61,3,3,3,3.89,3.78,65.45,-17.98750496,27.98339462,1135.27,864.74,158.28,0.28,0
32,3.11,2.28,3.22,3.61,3.39,3.83,80.65,-22.97809982,28.54911423,1331.08,1039.13,111.39,0.27,0
33,4.78,2.94,3,3.5,4.89,4.94,96.43,-13.60648251,32.26216125,1207.71,1195.2,121.4,0.21,0
34,4.78,2.61,3.28,3.33,4.94,4.89,100,-21.68271828,33.63507462,1496.8,1243.35,125,0.31,0
35,3.44,2.94,3.89,3.06,4.72,4.56,78.79,-39.67958069,33.56908035,2008.95,1175.25,113.64,0.48,0
36,3.73,2.67,3.78,3.56,4.67,4.67,100,-34.44203949,32.62017822,1984.15,1200.41,97.95,0.48,0
,,,,,,,,,,,,,,
