time_range,wpm,pitch_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
00.00-05.00,4227.272727272727,694.7015,-479.6412353515625,93.01713562011719,25.095699310302734,22.328325271606445,7.472718238830566,11.476263046264648,2.6166577339172363,7.73254919052124,-2.5709753036499023,-2.951941728591919,-6.478596210479736,-2.365187168121338,-5.7698163986206055
05.00-10.00,4379.280821917809,943.66614,-249.3061065673828,80.38983917236328,12.583831787109375,15.777207374572754,-20.039613723754883,-16.982032775878906,-18.481225967407227,4.41404914855957,-10.183297157287598,-9.091187477111816,-9.00210952758789,-10.498922348022461,0.626056432723999
10.00-15.00,4727.356746765249,908.8989,-271.9589538574219,86.87833404541016,17.44020652770996,9.46683406829834,-19.066696166992188,-10.825994491577148,-18.405506134033203,3.549710512161255,-8.557842254638672,-10.065634727478027,-8.902088165283203,-12.7783842086792,4.595021724700928
15.00-20.00,4463.350785340314,1370.0985,-249.2317352294922,78.5397720336914,9.234135627746582,13.299941062927246,-19.54015350341797,-20.83896827697754,-14.254475593566895,4.4075517654418945,-8.794454574584961,-10.067025184631348,-11.767409324645996,-12.459748268127441,3.6236677169799805
20.00-25.00,5064.3564356435645,936.5646,-284.13372802734375,93.42333221435547,19.35647964477539,22.908180236816406,-14.782211303710938,-17.734670639038086,-15.004889488220215,3.001577138900757,-10.615765571594238,-12.940443992614746,-8.899049758911133,-9.586151123046875,0.6491130590438843
25.00-30.00,6253.056234718827,1123.7924,-315.111328125,85.57108306884766,17.92841339111328,15.820287704467773,-13.828295707702637,-4.825306415557861,-8.943245887756348,3.0230023860931396,-7.3511223793029785,-9.345026969909668,-9.25300121307373,-9.34703540802002,0.251365602016449
30.00-35.00,4098.557692307692,942.29834,-250.8986358642578,73.924560546875,26.54245948791504,16.949567794799805,-22.78122901916504,-13.283943176269531,-21.732696533203125,6.022496700286865,-15.344404220581055,-11.05866527557373,-11.814946174621582,-10.7391939163208,1.5678502321243286
35.00-40.00,5230.061349693252,1171.4427,-283.97552490234375,77.4045181274414,18.635080337524414,23.822185516357422,-20.282752990722656,-15.089343070983887,-11.605631828308105,3.8342394828796387,-12.605568885803223,-10.395554542541504,-11.255202293395996,-4.369022846221924,0.27442899346351624
40.00-45.00,5608.5526315789475,1049.5588,-297.6092834472656,88.84849548339844,19.03403663635254,14.082916259765625,-20.452808380126953,-6.820286750793457,-12.242445945739746,5.7519001960754395,-10.500710487365723,-8.621841430664062,-10.58631706237793,-4.942259788513184,-0.20574678480625153
45.00-50.00,4283.9195979899505,1137.3026,-244.13458251953125,78.67809295654297,18.860095977783203,18.72430992126465,-19.489885330200195,-12.133432388305664,-23.785724639892578,4.809173583984375,-15.021991729736328,-10.453034400939941,-11.905417442321777,-10.035566329956055,2.8759799003601074
50.00-55.00,5406.976744186047,903.1956,-290.65545654296875,76.52558135986328,24.229976654052734,24.783021926879883,-16.71343421936035,-16.176652908325195,-12.796022415161133,3.918016195297241,-12.614660263061523,-11.527771949768066,-10.335661888122559,-8.218707084655762,2.731881856918335
55.00-60.00,4291.107382550335,1179.1105,-253.96096801757812,81.48461151123047,23.067974090576172,13.9636869430542,-18.181821823120117,-13.913860321044922,-22.73862075805664,5.718423366546631,-15.282998085021973,-10.605142593383789,-13.077898025512695,-10.003338813781738,4.996829509735107
60.00-65.00,6856.56836461126,1128.6184,-308.03228759765625,71.27578735351562,20.725160598754883,17.72173309326172,-12.54674243927002,-14.73005485534668,-4.7494611740112305,3.201219320297241,-8.293096542358398,-8.513965606689453,-9.450851440429688,-4.1368865966796875,-3.8292970657348633
65.00-70.00,5024.557956777996,959.9223,-285.1526184082031,87.5272445678711,19.61542320251465,13.849508285522461,-17.979917526245117,-16.212650299072266,-10.513015747070312,1.7624434232711792,-11.327064514160156,-8.97584056854248,-11.019968032836914,-4.865436553955078,2.0363998413085938
70.00-75.00,5064.3564356435645,1159.0988,-293.7743225097656,79.20594024658203,21.332313537597656,24.65679359436035,-13.256725311279297,-17.578916549682617,-13.477226257324219,7.176643371582031,-17.79239845275879,-7.604767322540283,-11.540929794311523,-7.155529022216797,0.9217976331710815
75.00-80.00,4658.46994535519,1155.677,-269.5079345703125,79.66854095458984,16.82399559020996,27.45222282409668,-15.936197280883789,-24.488462448120117,-15.663369178771973,0.6257144212722778,-12.234979629516602,-13.451295852661133,-7.400869369506836,-11.497788429260254,4.036625385284424
80.00-85.00,5906.466512702078,898.4484,-302.7535400390625,79.91360473632812,21.399192810058594,12.505684852600098,-7.102128505706787,-11.942056655883789,-12.260793685913086,8.036643028259277,-10.518086433410645,-7.708863735198975,-9.351786613464355,-7.554800033569336,1.2909878492355347
85.00-90.00,5145.875251509054,1076.9689,-280.19415283203125,81.33052825927734,17.6787052154541,15.619162559509277,-18.36009407043457,-12.207828521728516,-11.539003372192383,-1.6749850511550903,-8.78868579864502,-10.73670482635498,-8.54432201385498,-8.316373825073242,0.0250632893294096
90.00-95.00,4178.921568627451,1100.8279,-254.81991577148438,85.28327178955078,10.056456565856934,23.479249954223633,-29.3599910736084,-17.185501098632812,-9.450104713439941,-2.328115940093994,-17.63668441772461,-9.459432601928711,-9.944682121276855,-7.508232593536377,0.7525978088378906
95.00-100.00,4843.749999999999,936.2916,-285.3919677734375,83.23472595214844,26.84505271911621,15.020660400390625,-17.466136932373047,-19.18844985961914,-14.215083122253418,3.23712420463562,-12.009065628051758,-13.59141731262207,-8.536745071411133,-2.4042000770568848,0.4992230534553528
100.00-105.00,4985.380116959064,980.1169,-271.5823669433594,90.14868927001953,9.290106773376465,12.903449058532715,-19.738235473632812,-13.15158462524414,-17.461666107177734,9.905468940734863,-13.428244590759277,-6.3915019035339355,-12.508841514587402,-3.055999755859375,2.0181357860565186
105.00-110.00,6192.493946731236,937.3292,-314.24078369140625,83.22896575927734,24.26020622253418,17.51261329650879,-9.528135299682617,-9.964934349060059,-11.976451873779297,3.90916109085083,-14.40496826171875,-9.7715482711792,-8.921034812927246,-6.402810096740723,0.9136959910392761
110.00-115.00,4946.808510638298,1129.7634,-272.89276123046875,79.63103485107422,22.592994689941406,8.512165069580078,-16.110414505004883,-12.714396476745605,-17.252117156982422,2.1631038188934326,-11.726279258728027,-8.933542251586914,-8.560394287109375,-4.279059886932373,0.9728454947471619
115.00-120.00,4401.893287435457,1064.5043,-262.6544189453125,77.97611236572266,20.886821746826172,20.27884864807129,-17.144033432006836,-23.609346389770508,-15.328392028808594,2.4806768894195557,-14.198887825012207,-8.456372261047363,-11.217613220214844,-6.485659122467041,2.566882848739624
