Frame,Pitch (deg),Pose
1,-177.98,Looking Up
2,-173.64,Looking Up
3,-172.91,Looking Up
4,-172.33,Looking Up
5,-172.17,Looking Up
6,-171.65,Looking Up
7,-171.44,Looking Up
8,-171.73,Looking Up
9,-171.64,Looking Up
10,-171.02,Looking Up
11,-170.78,Looking Up
12,-170.13,Looking Up
13,-169.64,Looking Up
14,-168.96,Looking Up
15,-168.65,Looking Up
16,-168.01,Looking Up
17,-167.04,Looking Up
18,-167.64,Looking Up
19,-166.49,Looking Up
20,-167.05,Looking Up
21,-166.75,Looking Up
22,-166.67,Looking Up
23,-166.01,Looking Up
24,-166.33,Looking Up
25,-166.22,Looking Up
26,-165.96,Looking Up
27,-165.58,Looking Up
28,-165.38,Looking Up
29,-164.36,Looking Up
30,-165.33,Looking Up
31,-164.91,Looking Up
32,-164.61,Looking Up
33,-164.3,Looking Up
34,-163.91,Looking Up
35,-163.14,Looking Up
36,-163.71,Looking Up
37,-163.07,Looking Up
38,-162.84,Looking Up
39,-162.76,Looking Up
40,-162.98,Looking Up
41,-162.7,Looking Up
42,-163.03,Looking Up
43,-162.83,Looking Up
44,-162.89,Looking Up
45,-163.01,Looking Up
46,-163.03,Looking Up
47,-162.7,Looking Up
48,-163.7,Looking Up
49,-163.18,Looking Up
50,-162.49,Looking Up
51,-162.39,Looking Up
52,-163.32,Looking Up
53,-162.01,Looking Up
54,-162.97,Looking Up
55,-162.12,Looking Up
56,-162.32,Looking Up
57,-161.44,Looking Up
58,-162.62,Looking Up
59,-161.62,Looking Up
60,-161.71,Looking Up
61,-161.94,Looking Up
62,-161.39,Looking Up
63,-160.57,Looking Up
64,-160.76,Looking Up
65,-161.19,Looking Up
66,-161.39,Looking Up
67,-161.37,Looking Up
68,-161.59,Looking Up
69,-160.41,Looking Up
70,-160.61,Looking Up
71,-160.59,Looking Up
72,-160.73,Looking Up
73,-160.85,Looking Up
74,-160.53,Looking Up
75,-160.65,Looking Up
76,-160.5,Looking Up
77,-159.83,Looking Up
78,-160.13,Looking Up
79,-159.8,Looking Up
80,-159.13,Looking Up
81,-158.58,Looking Up
82,-157.95,Looking Up
83,-158.2,Looking Up
84,-157.81,Looking Up
85,-157.89,Looking Up
86,-158.53,Looking Up
87,-157.65,Looking Up
88,-158.24,Looking Up
89,-157.79,Looking Up
90,-158.15,Looking Up
91,-158.73,Looking Up
92,-157.92,Looking Up
93,-158.49,Looking Up
94,-158.16,Looking Up
95,-158.69,Looking Up
96,-157.59,Looking Up
97,-157.72,Looking Up
98,-158.12,Looking Up
99,-158.26,Looking Up
100,-158.08,Looking Up
101,-157.79,Looking Up
102,-157.65,Looking Up
103,-158.19,Looking Up
104,-158.0,Looking Up
105,-158.53,Looking Up
106,-158.35,Looking Up
107,-158.77,Looking Up
108,-158.33,Looking Up
109,-159.7,Looking Up
110,-158.79,Looking Up
111,-158.77,Looking Up
112,-158.96,Looking Up
113,-158.51,Looking Up
114,-158.12,Looking Up
115,-157.85,Looking Up
116,-159.09,Looking Up
117,-158.54,Looking Up
118,-158.37,Looking Up
119,-158.45,Looking Up
120,-158.68,Looking Up
121,-158.0,Looking Up
122,-158.37,Looking Up
123,-158.07,Looking Up
124,-157.76,Looking Up
125,-159.39,Looking Up
126,-158.17,Looking Up
127,-158.03,Looking Up
128,-158.55,Looking Up
129,-158.23,Looking Up
130,-158.68,Looking Up
131,-158.19,Looking Up
132,-158.64,Looking Up
133,-158.59,Looking Up
134,-158.63,Looking Up
135,-157.69,Looking Up
136,-159.0,Looking Up
137,-157.65,Looking Up
138,-158.79,Looking Up
139,-158.64,Looking Up
140,-157.34,Looking Up
141,-158.24,Looking Up
142,-159.13,Looking Up
143,-158.43,Looking Up
144,-158.62,Looking Up
145,-158.15,Looking Up
146,-158.35,Looking Up
147,-157.77,Looking Up
148,-157.57,Looking Up
149,-158.25,Looking Up
150,-158.13,Looking Up
151,-157.98,Looking Up
152,-157.84,Looking Up
153,-158.14,Looking Up
154,-158.47,Looking Up
155,-157.9,Looking Up
156,-157.46,Looking Up
157,-157.65,Looking Up
158,-158.11,Looking Up
159,-157.66,Looking Up
160,-157.48,Looking Up
161,-157.9,Looking Up
162,-157.72,Looking Up
163,-157.0,Looking Up
164,-157.23,Looking Up
165,-157.43,Looking Up
166,-157.6,Looking Up
167,-157.71,Looking Up
168,-157.3,Looking Up
169,-157.14,Looking Up
170,-157.29,Looking Up
171,-157.28,Looking Up
172,-156.98,Looking Up
173,-157.06,Looking Up
174,-157.48,Looking Up
175,-155.67,Looking Up
176,-157.05,Looking Up
177,-156.76,Looking Up
178,-156.72,Looking Up
179,-156.55,Looking Up
